"tweets.id" "tweets.created" "tweets.text"
"113" "801499872256000008" 1479927435 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"114" "801499822943571968" 1479927423 "@CFBPlayoff @UMichFootball @OhioStateFB @drpepper @espn I think you mean Columbus.Ì†ΩÌ∏ú"
"115" "801499368708853760" 1479927315 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"116" "801498580544528384" 1479927127 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"117" "801497708808835072" 1479926919 ".@BillBender92 believes that if Wilton Speight play t/@OhioStateFB @UMichFootball game will be a coin flip LISTEN Sat. @Noon @TheTeam921FM"
"118" "801497158637723648" 1479926788 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"119" "801496857683886080" 1479926716 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"120" "801496837664415744" 1479926711 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"121" "801496602481459202" 1479926655 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"122" "801495934836342784" 1479926496 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"123" "801495800941580288" 1479926464 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"124" "801495547848884224" 1479926404 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"125" "801495477137141760" 1479926387 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"126" "801495460619829248" 1479926383 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"127" "801495031668506624" 1479926281 "RT @NFL_CFB: The top 6 in the #CFBPlayoff rankings:

1. @AlabamaFTBL
2. @OhioStateFB
3. @UMichFootball
4. @ClemsonFB
5. @UW_Football 
6. @B‚Ä¶"
"128" "801494907676344320" 1479926251 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"129" "801494901972156416" 1479926250 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"130" "801494757193220100" 1479926215 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"131" "801494536866430978" 1479926163 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
